ID,TIPID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
316,5015,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
317,5018,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
318,5019,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
319,5021,,,,0.0735,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0735
320,5022,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
321,5024,,,,0.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.75
322,5025,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
323,5026,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
324,5027,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
325,5028,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
326,5029,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
327,5030,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
328,5031,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
329,5032,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
330,5034,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
331,5035,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
332,5036,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
333,5038,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
334,5039,,,,0.048,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.048
