Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
0.0,215,1485,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,219,1491,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.1,226,1498,,,,,,,,,,,,0.1,,,,,,,,,0.0,0.0,0.0
0.2,234,1506,,,,,,,,,,,,0.2,,,,,,,,,0.0,0.0,0.0
0.2,237,1509,,,,,,,,,,,,0.2,,,,,,,,,0.0,0.0,0.0
0.0,238,1510,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,240,1512,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
4.8,242,1514,,,,,,,,,,,,4.8,,,,,,,,,0.0,0.0,0.0
0.0,249,1521,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,250,1522,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,253,1525,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,254,1526,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,256,1528,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,259,1531,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,260,1532,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,263,1535,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,264,1536,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,265,1537,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,266,1538,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,268,1540,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,269,1541,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,270,1542,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,272,1544,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,304,1576,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,305,1578,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,306,1579,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.126,307,5001,,,,0.126,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.144,308,5002,,,,0.144,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,309,5004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,310,5005,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,311,5007,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,312,5008,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,313,5009,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,314,5010,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
3.53,315,5011,,,,0.83,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0
0.0,316,5014,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,317,5015,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,318,5018,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,319,5019,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.147,320,5021,,,,0.147,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,321,5022,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,322,5024,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,323,5025,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,324,5026,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,325,5027,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,326,5028,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,327,5029,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,328,5030,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,329,5031,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,330,5032,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.6,331,5034,,,,,,,,,,,0.6,,,,,,,,,,0.0,0.0,0.0
0.0,332,5035,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0
0.0,333,5036,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0
0.0,334,5038,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.096,335,5039,,,,0.096,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.051,336,5040,,,,0.051,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,337,5041,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,338,5044,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,339,5045,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,340,5046,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,341,5048,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,342,5049,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,343,5050,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,344,5052,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,345,5056,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,346,5057,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,347,5058,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,348,5060,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,349,5061,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,350,5067,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,351,5069,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0
0.0,352,5070,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,353,5071,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,354,5072,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,355,5078,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,356,5083,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,357,5085,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.24,358,5088,,,,0.24,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.0,359,5089,,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,360,5090,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,361,5091,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,362,5092,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
