TIPID,Municipalities,ID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
1329.0,Glocester,89.0,,,,,,,,,,,,,,,,,0.4,,,,0.0,0.0,0.0,0.4
1330.0,Glocester,90.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1333.0,Hopkinton,93.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1331.0,Hopkinton,91.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1334.0,Hopkinton,94.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1332.0,Hopkinton,92.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1316.0,Hopkinton,77.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
9501.0,Hopkinton,618.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5057.0,Hopkinton,345.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1335.0,"Hopkinton, Richmond",95.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,2.0
1336.0,Jamestown,96.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1340.0,Johnston,100.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1337.0,Johnston,97.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1339.0,Johnston,99.0,,,,,,,,,,,,,,,,,0.3,,,,0.0,0.0,0.0,0.3
1338.0,Johnston,98.0,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0,0.2
1341.0,"Johnston, Smithfield",101.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1275.0,"Johnston, Smithfield, Lincoln",42.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1342.0,Lincoln,102.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1343.0,Lincoln,103.0,,,,,,,,,,,,,,,,,3.1,,,,0.0,0.0,0.0,3.1
1346.0,Lincoln,104.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1347.0,Lincoln,105.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1348.0,Lincoln,106.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1349.0,Lincoln,107.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1350.0,Lincoln,108.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1276.0,"Lincoln, Cumberland",43.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1292.0,"Lincoln, N. Smithfield",56.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1353.0,Little Compton,111.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1354.0,Little Compton,112.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1351.0,Little Compton,109.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1352.0,Little Compton,110.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1355.0,Middletown,113.0,,,,,,,,,,,,,,1.3,,,,,,,0.0,0.0,0.0,1.3
1357.0,Middletown,114.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1359.0,Middletown,116.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1358.0,Middletown,115.0,,,,,,,,,,,,,,,,,1.9,,,,0.0,0.0,0.0,1.9
5070.0,Middletown,351.0,,,,,,,,,,,,,,0.1,,,,,,,0.0,0.0,0.0,0.1
1360.0,"Middletown, Portsmouth",117.0,,,,,,,,,,,,,,0.3,,,,,,,0.0,0.0,0.0,0.3
1366.0,N. Kingstown,122.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1367.0,N. Kingstown,123.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1368.0,N. Kingstown,124.0,,,,,,,,,,,,,,0.3,,,,,,,0.0,0.0,0.0,0.3
1365.0,N. Kingstown,121.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5126.0,N. Kingstown,384.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5326.0,N. Kingstown,527.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
