FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName,TIPID
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,889,,,1537
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,890,,,1538
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,892,,,1540
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,893,,,1541
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,894,,,1542
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,896,,,1544
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,928,,,1576
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,929,,,1578
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,930,,,1579
,0.0,,,,,,,,,,,,,,0.042,,,,0.0,,0.0,0.042,931,,,5001
,0.0,,,,,,,,,,,,,,0.048,,,,0.0,,0.0,0.048,932,,,5002
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,933,,,5004
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,934,,,5005
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,935,,,5007
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,936,,,5008
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,937,,,5009
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,938,,,5010
,0.0,2.7,,,,,,,,,,,,,0.83,,,,0.0,,0.0,3.53,939,,,5011
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,940,,,5014
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,941,,,5015
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,942,,,5018
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,943,,,5019
,0.0,,,,,,,,,,,,,,0.049,,,,0.0,,0.0,0.049,944,,,5021
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,945,,,5022
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,946,,,5024
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,947,,,5025
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,948,,,5026
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,949,,,5027
,0.0,,,,,,,,,,,,,,0.12,,,,0.0,,0.0,0.12,950,,,5028
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,951,,,5029
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,952,,,5030
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,953,,,5031
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,954,,,5032
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,955,,,5034
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,956,,,5035
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,957,,,5036
,0.0,,,,,,0.45,,,,,,,,,,,,0.0,,0.0,0.45,958,,,5038
,0.0,,,,,,,,,,,,,,0.032,,,,0.0,,0.0,0.032,959,,,5039
,0.0,,,,,,,,,,,,,,0.017,,,,0.0,,0.0,0.017,960,,,5040
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,961,,,5041
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,962,,,5044
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,963,,,5045
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,964,,,5046
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,965,,,5048
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,966,,,5049
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,967,,,5050
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,968,,,5052
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,969,,,5056
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,970,,,5057
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,971,,,5058
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,972,,,5060
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,973,,,5061
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,974,,,5067
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,975,,,5069
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,976,,,5070
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,977,,,5071
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,978,,,5072
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,979,,,5078
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,980,,,5083
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,981,,,5085
,0.0,,,,,,,,,,,,,,0.08,,,,0.0,,0.0,0.08,982,,,5088
,0.0,,,,,,,,,,,,,,0.62,,,,0.0,,0.0,0.62,983,,,5089
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,984,,,5090
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,985,,,5091
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,986,,,5092
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,987,,,5095
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,988,,,5096
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,989,,,5097
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,990,,,5098
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,991,,,5099
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,992,,,5100
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,993,,,5101
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,994,,,5102
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,995,,,5103
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,996,,,5104
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,997,,,5105
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,998,,,5106
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,999,,,5107
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1000,,,5108
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1001,,,5109
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1002,,,5112
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1003,,,5114
,0.0,,,,0.4,,,,,,,,,,,,,,0.0,,0.0,0.4,1004,,,5115
,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1005,,,5120
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1006,,,5121
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,1007,,,5122
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1008,,,5125
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1009,,,5126
,0.0,,,,,,,,,,,,,,0.3,,,,0.0,,0.0,0.3,1010,,,5128
,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1011,,,5129
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1012,,,5130
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,1013,,,5133
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,1014,,,5134
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,1015,,,5135
,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,1016,,,5136
