TIPID,Municipalities,FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName
1358.0,Middletown,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,740,,
5070.0,Middletown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,976,,
1360.0,"Middletown, Portsmouth",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,742,,
1366.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,747,,
1367.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,748,,
1368.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,749,,
1365.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,746,,
5126.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1009,,
5326.0,N. Kingstown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1152,,
5121.0,N. Kingstown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1006,,
1283.0,"N. Kingstown, E. Greenwich",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,673,,
5129.0,N. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1011,,
5130.0,N. Providence,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1012,,
